000001010016C02AB  111*
000001030014C02AB  074 
000001040013C02AB  122 
000002010015R03AB  874*
000002010015R03CB  874*
000002020014R03AB  894*
000002020014R03CB  894*
000002030013R03AB  994*
000002030013R03CB  994*
000003010014J04AA  854*
000003020013J04AA  894*
000003030012J04AA  854*
000003040011J04AA  854*
000003050010J04AA  103 
000004010013D04AA  854*
000004010013N05CM  043 
000004010013R06AA  854*
000004020012D04AA  854*
000004020012N05CM  053 
000004020012R06AA  854*
000004030011R06AA  883*
000004040010D04AA  921*
000004040010R06AA  921*
000004050019D04AA  921*
000004050019R06AA  921*
000004060018D04AA  051*
000004060018R06AA  051*
000004070017R06AA  052*
000004080016D04AA  122*
000004080016R06AA  122*
000004090015D04AA  142 
000004090015R06AA  122 
000004100012D04AA  122 
000004110011R06AA  122 
000004120010R06AA  122 
000005010012J01CA  854*
000005010012S01AA  854*
000005020011J01CA  854*
000005020011S01AA  854*
000005030010J01CA  854*
000005030010S01AA  854*
000005040019J01CA  854*
000005040019S01AA  854*
000005050018J01CA  122 
000006010011N05AB  854*
000006020010N05AB  854*
000006030019N05AB  854*
000006040018N05AB  854*
000006050017N05AB  113 
000007010010G03AA  042*
000007010010G03AB  112*
000007010010G03FA  042 
000008010019N07BB  854*
000008010019P03AA  854*
000009010018D06AX  103 
000009010018J01CE  854*
000009010018S01AA  921*
000009020017D06AX  103 
000009020017J01CE  854*
000009020017S01AA  921*
000009030016J01CE  854*
000009030016S01AA  921*
000009040015J01CE  854*
000009040015S01AA  921*
000009050014J01CE  854*
000009050014S01AA  921*
000009060013J01CE  854*
000009060013S01AA  921*
000009070012J01CE  854*
000009070012S01AA  921*
000009080011J01CE  854*
000009080011S01AA  921*
000009090010J01CE  873*
000009090010S01AA  921*
000010010015P01BA  854*
000010020014P01BA  854*
000010030013P01BA  854*
000010040012P01BA  854*
000010050011P01BA  854*
000010060010P01BA  861*
000010070019P01BA  922*
000010080018P01BA  111 
000011010014M01AG  874*
000011020013M01AG  874*
000012010013N02AA  044 
000012010013N02BA  044 
000013010012C10AB  894*
000013020011C10AB  894*
000013030010C10AB  121*
000014010011D04AA  854*
000014010011R06AC  854*
000014020010D04AA  854*
000014020010R06AC  854*
000014040018R06AC  104 
000015010010L04AX  854*
000015020019L04AX  873*
000016010019A07EC  874*
000017010018A01AB  921*
000017010018D06AA  854*
000017010018J01AA  854*
000017010018R02AB  074 
000017010018S01AA  854*
000017010018S02AA  894*
000017010018S03AA  854*
000017020017A01AB  921*
000017020017D06AA  854*
000017020017J01AA  854*
000017020017R02AB  063 
000017020017S01AA  854*
000017020017S02AA  894*
000017020017S03AA  854*
000017030016A01AB  921*
000017030016D06AA  854*
000017030016J01AA  854*
000017030016S01AA  854*
000017030016S02AA  894*
000017030016S03AA  854*
000017040015A01AB  921*
000017040015D06AA  854*
000017040015J01AA  854*
000017040015S01AA  854*
000017040015S02AA  894*
000017040015S03AA  854*
000017050014J01AA  122 
000017060013J01AA  122 
000018010017J01CE  854*
000018020016J01CE  854*
000018030015J01CE  854*
000018040014J01CE  854*
000018050013J01CE  854*
000018070011J01CE  072 
000019010016R05CA  044 
000019010016V07AY  044 
000020010013J07AN  052 
000020010013L03AX  854*
000021010012D08AX  022*
000021010012V03AB  854*
000021010012V03AZ  854*
000021010012V07AV  114 
000022010011N06AA  854*
000022020010N06AA  854*
000022030019N06AA  854*
000022040018N06AA  052*
000023010010C01DX  854*
000024010019A03CB  044 
000025010018R05X   044 
000026010017N04AA  854*
000026020016N04AA  854*
000027010016A01AD  904*
000027010016B01AC  904*
000027010016M02AC  031 
000027010016N02BA  904*
000027020015B01AC  022*
000027020015N02BA  854*
000027030014B01AC  854*
000027030014N02BA  854*
000027040013N02BA  862*
000027050012N02BA  864*
000027070010N02BA  063*
000027090018N02BA  121*
000027100015N02BA  121*
000028010015A03BA  894*
000028010015A03BB  142 
